date,spend_google,spend_facebook,spend_influencer,impressions_google,clicks_google,impressions_facebook,clicks_facebook,impressions_influencer,clicks_influencer,sessions,units_sold,avg_order_value,conversion_rate,discount,promo_type,season,revenue
2025-11-22 23:38:41,1766.06,2175.93,951.62,211927,6399,239352,6396,85645,2924,11067,232,71.53,0.021,0.21,social,spring,16596.04
2025-11-22 23:39:41,2835.6,2538.65,1624.33,340272,18648,279251,6501,146189,9192,21271,256,87.74,0.0121,0.077,social,spring,22461.13
2025-11-22 23:40:41,1058.09,1851.01,1340.07,126971,7409,203611,8157,120606,5164,13004,469,84.13,0.0361,0.158,holiday,winter,39454.79
2025-11-22 23:41:41,1836.08,3020.04,1602.37,220329,12845,332203,11339,144212,9871,21486,337,66.98,0.0157,0.133,tv,summer,22571.81
2025-11-22 23:42:41,2653.51,3396.91,1562.26,318421,16040,373660,17955,140603,6183,24748,820,80.38,0.0332,0.11,tv,summer,65915.08
2025-11-22 23:43:41,4020.63,2417.77,1459.56,482476,10288,265954,7419,131360,5564,15428,553,60.26,0.0358,0.151,radio,summer,33321.75
2025-11-22 23:44:41,2774.2,1426.0,2297.04,332904,8867,156860,4779,206733,14377,16917,841,102.06,0.0498,0.061,radio,summer,85830.18
2025-11-22 23:45:41,2272.2,2575.06,1817.49,272664,11155,283256,8275,163573,9721,17713,627,94.3,0.0354,0.111,holiday,winter,59125.32
2025-11-22 23:46:41,4392.51,1547.8,1027.55,527101,29722,170257,7979,92479,4369,25594,879,85.97,0.0344,0.249,social,fall,75566.36
2025-11-22 23:47:41,2729.06,1470.29,1304.98,327486,8841,161731,7941,117447,5475,13341,666,71.06,0.0499,0.089,email,fall,47326.4
2025-11-22 23:48:42,3296.44,2473.32,737.09,395572,13502,272065,6479,66337,3832,15676,319,56.47,0.0204,0.165,radio,spring,18014.58
2025-11-22 23:49:42,2618.6,1887.89,1296.09,314232,10574,207667,8685,116647,4386,15399,249,60.2,0.0162,0.191,holiday,summer,14990.12
2025-11-22 23:50:42,3895.19,2057.79,1130.43,467422,10992,226356,5407,101738,6112,13985,250,60.69,0.0179,0.115,holiday,summer,15171.54
2025-11-22 23:51:42,2228.4,1463.18,2064.31,267408,15954,160950,5141,185787,8711,18279,226,54.66,0.0124,0.163,social,fall,12353.26
2025-11-22 23:52:42,2699.51,2587.28,880.15,323941,8602,284600,11437,79213,3742,15427,252,91.7,0.0164,0.101,email,fall,23109.53
2025-11-22 23:53:42,2348.49,2270.53,2472.04,281819,7173,249758,9929,222483,11479,17671,177,59.73,0.0101,0.166,radio,winter,10571.47
2025-11-22 23:54:42,2797.69,2360.91,971.33,335723,18119,259700,11948,87419,3456,21219,654,70.44,0.0308,0.133,radio,fall,46067.3
2025-11-22 23:55:42,2468.92,2041.17,1713.07,296270,7763,224528,10972,154175,6997,15326,377,85.56,0.0246,0.111,social,winter,32255.6
